Rank,ID,Title,Authors,Year,Venue,Track,Status,Primary Area,Keywords,Citations,BM25 Score,Combined Score,DOI,URL,PDF,Source,TLDR,Abstract
22,,An LLM-based Recommender System Environment,Nathan Corecco; Giorgio Piatti; Luca A. Lanzendorfer; Flint Xiaofeng Fan; R. Wattenhofer,2024,arXiv.org,,,,,5,0.000,0.000,10.48550/arXiv.2406.01631,https://www.semanticscholar.org/paper/5195b73c54d79ebecb26b547ec2c32b2b11ce194,,semantic_scholar,,
23,,ENCORE: Entropy-guided Reward Composition for Multi-head Safety Reward Models,Xiaomin Li; Xupeng Chen; Jingxuan Fan; Eric Hanchen Jiang; Mingye Gao,2025,,,,,,5,0.000,0.000,,https://www.semanticscholar.org/paper/4d76d602d913852327d576b0af92ae4ed0ca1d2f,,semantic_scholar,,"The safety alignment of large language models (LLMs) often relies on reinforcement learning from human feedback (RLHF), which requires human annotations to construct preference datasets. Given the challenge of assigning overall quality scores to data, recent works increasingly adopt fine-grained rat"
24,,Dynamic Uncertainty Ranking: Enhancing Retrieval-Augmented In-Context Learning for Long-Tail Knowledge in LLMs,Shuyang Yu; Runxue Bao; Parminder Bhatia; Taha A. Kass-Hout; Jiayu Zhou,2024,North American Chapter of the Association for Computational Linguistics,,,,,3,0.000,0.000,10.18653/v1/2025.naacl-long.453,https://www.semanticscholar.org/paper/939f58bfa4c12dbd10d0cb4d6185bf125451c169,,semantic_scholar,,"Large language models (LLMs) can learn vast amounts of knowledge from diverse domains during pre-training. However, long-tail knowledge from specialized domains is often scarce and underrepresented, rarely appearing in the models' memorization. Prior work has shown that in-context learning (ICL) wit"
25,,A Scientific Reasoning Model for Organic Synthesis Procedure Generation,Guoqing Liu; Jian Li; Zihan Zhao; Eray Inanc; Krzysztof Maziarz,2025,arXiv (Cornell University),,,,,0,0.000,0.000,10.48550/arxiv.2512.13668,https://openalex.org/W4417460396,https://arxiv.org/pdf/2512.13668,openalex,,"Solving computer-aided synthesis planning is essential for enabling fully automated, robot-assisted synthesis workflows and improving the efficiency of drug discovery. A key challenge, however, is bridging the gap between computational route design and practical laboratory execution, particularly th"
26,,"Internet of Agents: Fundamentals, Applications, and Challenges",Yuntao Wang; Shaolong Guo; Yanghe Pan; Zhou Su; Fahao Chen,2025,IEEE Transactions on Cognitive Communications and Networking,,,,,4,0.000,0.000,10.1109/tccn.2025.3623369,https://openalex.org/W4415368556,https://arxiv.org/pdf/2505.07176,openalex,,"With the rapid proliferation of large language models and vision-language models, AI agents have evolved from isolated, task-specific systems into autonomous, interactive entities capable of perceiving, reasoning, and acting without human intervention. As these agents proliferate across virtual and "
27,,JudgeSQL: Reasoning over SQL Candidates with Weighted Consensus Tournament,Jiayuan Bai; X. Pan; Chongyang Tao; Shuai Ma,2025,arXiv (Cornell University),,,,,0,0.000,0.000,10.48550/arxiv.2510.15560,https://openalex.org/W4415882142,https://arxiv.org/pdf/2510.15560,openalex,,"Text-to-SQL is a pivotal task that bridges natural language understanding and structured data access, yet it remains fundamentally challenging due to semantic ambiguity and complex compositional reasoning. While large language models (LLMs) have greatly advanced SQL generation though prompting, supe"
28,,InfiMed-ORBIT: Aligning LLMs on Open-Ended Complex Tasks via Rubric-Based Incremental Training,Pengkai Wang; Qiang Zuo; Pengwei Liu; ZhuGuoyuan Sang; C Xie,2025,arXiv (Cornell University),,,,,0,0.000,0.000,10.48550/arxiv.2510.15859,https://openalex.org/W4415886192,https://arxiv.org/pdf/2510.15859,openalex,,"Reinforcement learning has powered many of the recent breakthroughs in large language models, especially for tasks where rewards can be computed automatically, such as code generation. However, these methods deteriorate in open-ended domains like medical consultation, where feedback is inherently am"
29,,ReSeek: A Self-Correcting Framework for Search Agents with Instructive Rewards,Shiyu Li; Yang Tang; Yifan Wang; Peiming Li; Xi Chen,2025,arXiv (Cornell University),,,,,0,0.000,0.000,10.48550/arxiv.2510.00568,https://openalex.org/W4414808182,https://arxiv.org/pdf/2510.00568,openalex,,"Search agents powered by Large Language Models (LLMs) have demonstrated significant potential in tackling knowledge-intensive tasks. Reinforcement learning (RL) has emerged as a powerful paradigm for training these agents to perform complex, multi-step reasoning. However, prior RL-based methods ofte"
30,,Checking Medical Process Conformance by Exploiting LLMs,Giorgio Leonardi; Stefania Montani; Manuel Striani,2025,Applied Sciences,,,,,0,0.000,0.000,10.3390/app151810184,https://openalex.org/W4414340659,https://www.mdpi.com/2076-3417/15/18/10184/pdf?version=1758263681,openalex,,"Clinical guidelines, which represent the normative process models for healthcare organizations, are typically available in a textual, unstructured form. This issue hampers the application of classical conformance-checking algorithms to the medical domain, which take in input of a formalized and comp"
31,,Shaping Explanations: Semantic Reward Modeling with Encoder-Only Transformers for GRPO,Francesco Pappone; Ruggero Marino Lazzaroni; Federico Califano; Niccolò Gentile; Roberto Marras,2025,arXiv (Cornell University),,,,,0,0.000,0.000,10.48550/arxiv.2509.13081,https://openalex.org/W4415317558,https://arxiv.org/pdf/2509.13081,openalex,,"While Large Language Models (LLMs) excel at generating human-like text, aligning their outputs with complex, qualitative goals like pedagogical soundness remains a significant challenge. Standard reinforcement learning techniques often rely on slow and expensive LLM-as-a-judge evaluations or on brit"
