Rank,ID,Title,Authors,Year,Venue,Track,Status,Primary Area,Keywords,Citations,BM25 Score,Combined Score,DOI,URL,PDF,Source,TLDR,Abstract
217,NqWY3s0SILo,Differentiable Graph Optimization for Neural Architecture Search,Chengyue Huang; Lingfei Wu; Yadong Ding; Siliang Tang; Fangli Xu,2021,ICLR 2021,main,Reject,,Neural Architecture Search;Graph Structure Learning,0,6.035,0.000,,https://openreview.net/forum?id=NqWY3s0SILo,,offline_iclr,,"In this paper, we propose Graph Optimized Neural Architecture Learning (GOAL), a novel gradient-based method for Neural Architecture Search (NAS), to find better architectures with fewer evaluated samples. Popular NAS methods usually employ black-box optimization based approaches like reinforcement "
218,Tl8OmiibP99,Improving Differentiable Neural Architecture Search by Encouraging Transferability,Parth Sheth; Pengtao Xie,2023,ICLR 2023,main,Poster,,,0,6.027,0.000,,https://iclr.cc/virtual/2023/poster/10745,https://openreview.net/pdf?id=Tl8OmiibP99,offline_iclr,,"Differentiable neural architecture search  methods are increasingly  popular due to their computational efficiency. However, these methods have unsatisfactory generalizability and stability. Their searched    architectures  are often  degenerate with a dominant number of skip connections and perform"
219,JrhAsf4xNH,EM-DARTS: Preventing Performance Collapse in Differentiable Architecture Search with The Edge Mutation Mechanism,Huaxiong Liu; Brian Yi Sun; Mingming Gong; Yinfeng Yu; Kun Zhang,2025,ICLR 2025,main,Reject,"applications to computer vision, audio, language, and other modalities",deep learning;autoML;neural architecture search;image classification;performance collapse,0,6.017,0.000,,https://openreview.net/forum?id=JrhAsf4xNH,,offline_iclr,,"Differentiable Architecture Search (DARTS) relaxes the discrete search space into a continuous form, significantly improving architecture search efficiency through gradient-based optimization. However, DARTS often suffers from performance collapse, where the performance of discovered architectures d"
220,8ZW3oLNE0c,SEArch: A Self-Evolving Framework for Network Architecture Optimization,Yongqing Liang; Dawei Xiang; Xin Li,2024,ICLR 2024,main,Reject,optimization,network architecture optimization;network pruning;knowledge distillation,0,6.014,0.000,,https://openreview.net/forum?id=8ZW3oLNE0c,,offline_iclr,,"This paper studies a fundamental network optimization problem that finds a network architecture with optimal performance (low losses) under given resource budgets (small parameter size and/or fast inference). Different from existing network optimization approaches such as network pruning, knowledge "
221,30147,SwitchLight: Co-design of Physics-driven Architecture and Pre-training Framework for Human Portrait Relighting,Hoon Kim; Minje Jang; Wonjun Yoon; Jisoo Lee; Donghyun Na,2024,CVPR 2024,main,Highlight,,,0,6.004,0.000,,https://cvpr.thecvf.com/virtual/2024/poster/30147,https://openaccess.thecvf.com/content/CVPR2024/papers/Kim_SwitchLight_Co-design_of_Physics-driven_Architecture_and_Pre-training_Framework_for_Human_CVPR_2024_paper.pdf,offline_cvpr,,We introduce a co-designed approach for human portrait relighting that combines a physics-guided architecture with a pre-training framework. Drawing on the Cook-Torrance reflectance model we have meticulously configured the architecture design to precisely simulate light-surface interactions. Furthe
222,XvOH0v2hsph,Revisiting the Train Loss: an Efficient Performance Estimator for Neural Architecture Search,Binxin Ru; Clare Lyle; Lisa Schut; Mark van der Wilk; Yarin Gal,2021,ICLR 2021,main,Reject,,performance estimation;neural architecture search,0,6.003,0.000,,https://openreview.net/forum?id=XvOH0v2hsph,,offline_iclr,,"Reliable yet efficient evaluation of generalisation performance of a proposed architecture is crucial to the success of neural architecture search (NAS). Traditional approaches face a variety of limitations: training each architecture to completion is prohibitively expensive, early stopping estimate"
223,e2YOVTenU9,ArchLock: Locking DNN Transferability at the Architecture Level with a Zero-Cost Binary Predictor,Tong Zhou; Shaolei Ren; Xiaolin Xu,2024,ICLR 2024,main,Poster,"societal considerations including fairness, safety, privacy",Defense; DNN Transferability; Neural Architecture Search,0,6.002,0.000,,https://iclr.cc/virtual/2024/poster/18234,https://openreview.net/pdf?id=e2YOVTenU9,offline_iclr,,"Deep neural network (DNN) models, despite their impressive performance, are vulnerable to exploitation by attackers who attempt to transfer them to other tasks for their own benefit. Current defense strategies mainly address this vulnerability at the model parameter level, leaving the potential of a"
224,a2rFihIU7i,Model-based Asynchronous Hyperparameter and Neural Architecture Search,Aaron Klein; Louis Chi-Chun Tiao; Thibaut Lienart; Cedric Archambeau; Matthias Seeger,2021,ICLR 2021,main,Reject,,Bayesian Optimization;AutoML;Hyperparameter Optimization;Neural Architecture Search,0,6.000,0.000,,https://openreview.net/forum?id=a2rFihIU7i,,offline_iclr,,We introduce a model-based asynchronous multi-fidelity method for hyperparameter and neural architecture search that combines the strengths of asynchronous Successive Halving and Gaussian process-based Bayesian optimization. At the heart of our method is a probabilistic model that can simultaneously
225,4y4t7yOvJO,POMONAG: Pareto-Optimal Many-Objective Neural Architecture Generator,Eugenio Lomurno; Samuele Mariani; Matteo Monti; Matteo Matteucci,2025,ICLR 2025,main,Reject,"transfer learning, meta learning, and lifelong learning",Neural Architecture Search;Many-Objective;Pareto-Optimal;Meta-Dataset;Transferable Neural Architecture Search,0,5.994,0.000,,https://openreview.net/forum?id=4y4t7yOvJO,,offline_iclr,,"Neural Architecture Search (NAS) automates the design of neural network architectures, minimising dependence on human expertise and iterative experimentation. While NAS methods are often computationally intensive and dataset-specific, employing auxiliary predictors to estimate architecture propertie"
226,S1eYHoC5FX,DARTS: Differentiable Architecture Search,Hanxiao Liu; Karen Simonyan; Yiming Yang,2019,ICLR 2019,main,Poster,,deep learning;autoML;neural architecture search;image classification;language modeling,0,5.990,0.000,,https://iclr.cc/virtual/2019/poster/1030,https://openreview.net/pdf?id=S1eYHoC5FX,offline_iclr,"We propose a differentiable architecture search algorithm for both convolutional and recurrent networks, achieving competitive performance with the state of the art using orders of magnitude less computation resources.","This paper addresses the scalability challenge of architecture search by formulating the task in a differentiable manner. Unlike conventional approaches of applying evolution or reinforcement learning over a discrete and non-differentiable search space, our method is based on the continuous relaxati"
227,BJGVX3CqYm,Mixed Precision Quantization of ConvNets via Differentiable Neural Architecture Search,Bichen Wu; Yanghan Wang; Peizhao Zhang; Yuandong Tian; Peter Vajda,2019,ICLR 2019,main,Reject,,Neural Net Quantization;Neural Architecture Search,0,5.981,0.000,,https://openreview.net/forum?id=BJGVX3CqYm,,offline_iclr,A novel differentiable neural architecture search framework for mixed quantization of ConvNets.,"Recent work in network quantization has substantially reduced the time and space complexity of neural network inference, enabling their deployment on embedded and mobile devices with limited computational and memory resources. However, existing quantization methods often represent all weights and ac"
228,,RENAS: Reinforced Evolutionary Neural Architecture Search,Yukang Chen; Gaofeng Meng; Qian Zhang; Shiming Xiang; Chang Huang,2019,CVPR 2019,main,Poster,,,0,5.979,0.000,,,https://openaccess.thecvf.com/content_CVPR_2019/papers/Chen_RENAS_Reinforced_Evolutionary_Neural_Architecture_Search_CVPR_2019_paper.pdf,offline_cvpr,,"Neural Architecture Search (NAS) is an important yet challenging task in network design due to its high computational consumption. To address this issue, we propose the Reinforced Evolutionary Neural Architecture Search (RENAS), which is an evolutionary method with reinforced mutation for NAS. Our m"
229,4Un_FnHiN8C,Architecture Agnostic Neural Networks,Sabera J Talukder; Guruprasad Raghavan; Yisong Yue,2021,ICLR 2021,main,Reject,,Architecture Agnostic;Sparse;Binary;Stochastic;Pruning;Biologically Inspired,0,5.977,0.000,,https://openreview.net/forum?id=4Un_FnHiN8C,,offline_iclr,,"In this paper, we explore an alternate method for synthesizing neural network architectures, inspired by the brain's stochastic synaptic pruning. During a person’s lifetime, numerous distinct neuronal architectures are responsible for performing the same tasks. This indicates that biological neural "
230,HJe7unNFDH,Scaling Up Neural Architecture Search with Big Single-Stage Models,Jiahui Yu; Pengchong Jin; Hanxiao Liu; Gabriel Bender; Pieter-Jan Kindermans,2020,ICLR 2020,main,Reject,,Single-Stage Neural Architecture Search,0,5.976,0.000,,https://openreview.net/forum?id=HJe7unNFDH,,offline_iclr,"We scale up neural architecture search with big single-stage models, surpassing all state-of-the-art models from 200 to 1000 MFLOPs including EfficientNets.","Neural architecture search (NAS) methods have shown promising results discovering models that are both accurate and fast. For NAS, training a one-shot model has became a popular strategy to approximate the quality of multiple architectures (child models) using a single set of shared weights. To avoi"
231,1OHZX4YDqhT,FedNAS: Federated Deep Learning via Neural Architecture Search,Chaoyang He; Erum Mushtaq; Jie Ding; Salman Avestimehr,2022,ICLR 2022,main,Reject,,,0,5.970,0.000,,https://openreview.net/forum?id=1OHZX4YDqhT,,offline_iclr,,"Federated Learning (FL) is an effective learning framework used when data cannotbe centralized due to privacy, communication costs, and regulatory restrictions.While there have been many algorithmic advances in FL, significantly less effort hasbeen made on model development, and most works in FL emp"
232,510f7KAPmYR,Intra-layer Neural Architecture Search,Dong Kai Wang; Nam Sung Kim,2021,ICLR 2021,main,Withdraw,,Neural Networks;Neural Architecture Search;Training Algorithms,0,5.965,0.000,,https://openreview.net/forum?id=510f7KAPmYR,,offline_iclr,,"We propose an efficient neural architecture search (NAS) algorithm with a flexible search space that encompasses layer operations down to individual weights. This work addresses NAS challenges in a search space of weight connections within layers, specifically the large number of architecture variat"
233,SkgrV6EFPB,Towards Unifying Neural Architecture Space Exploration and Generalization,Kartikeya Bhardwaj; Radu Marculescu,2020,ICLR 2020,main,Withdraw,,Neural Architecture Space Exploration;Generalization;Model Compression;Network Science;Convolutional Neural Networks,0,5.962,0.000,,https://openreview.net/forum?id=SkgrV6EFPB,,offline_iclr,,"In this paper, we address a fundamental research question of significant practical interest: Can certain theoretical characteristics of CNN architectures indicate a priori (i.e., without training) which models with highly different number of parameters and layers achieve a similar generalization per"
234,13317,DATA: Differentiable ArchiTecture Approximation,Jianlong Chang; xinbang zhang; Yiwen Guo; GAOFENG MENG; SHIMING XIANG,2019,NIPS 2019,main,Poster,,,0,5.959,0.000,,https://nips.cc/virtual/2019/poster/13317,https://papers.nips.cc/paper_files/paper/2019/file/74071a673307ca7459bcf75fbd024e09-Paper.pdf,offline_nips,,"Neural architecture search (NAS) is inherently subject to the gap of architectures during searching and validating. To bridge this gap, we develop Differentiable ArchiTecture Approximation (DATA) with an Ensemble Gumbel-Softmax (EGS) estimator to automatically approximate architectures during search"
235,rkQuFUmUOg3,Rapid Neural Architecture Search by Learning to Generate Graphs from Datasets,Hayeon Lee; Eunyoung Hyung; Sung Ju Hwang,2021,ICLR 2021,main,Poster,,Machine Learning;Neural Architecture Search;Meta-learning,0,5.954,0.000,,https://iclr.cc/virtual/2021/poster/3142,https://openreview.net/pdf?id=rkQuFUmUOg3,offline_iclr,,"Despite the success of recent Neural Architecture Search (NAS) methods on various tasks which have shown to output networks that largely outperform human-designed networks, conventional NAS methods have mostly tackled the optimization of searching for the network architecture for a single task (data"
236,S1xLN3C9YX,Learnable Embedding Space for Efficient Neural Architecture Compression,Shengcao Cao; Xiaofang Wang; Kris M. Kitani,2019,ICLR 2019,main,Poster,,Network Compression;Neural Architecture Search;Bayesian Optimization;Architecture Embedding,0,5.954,0.000,,https://iclr.cc/virtual/2019/poster/834,https://openreview.net/pdf?id=S1xLN3C9YX,offline_iclr,"We propose a method to incrementally learn an embedding space over the domain of network architectures, to enable the careful selection of architectures for evaluation during compressed architecture search.","We propose a method to incrementally learn an embedding space over the domain of network architectures, to enable the careful selection of architectures for evaluation during compressed architecture search. Given a teacher network, we search for a compressed network architecture by using Bayesian Op"
